title,artist,album,track,duration,id,idtype,playcount,rating,year,genre,notes,playlist
spotify:track:5pfC4zfLEeSAEz7YHhHY5p,EL Señor de las Tanquetas,Revolver Cannabis,Los Amos del Terror,1,5,157052,spotify:user:elosegui-1,2016-01-23T18:53:20Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:5fxEdd3sGoQm6i2ox0hWYK,Los Tres Mandos,Noel Torres,Al Frente y de Frente,1,11,151533,spotify:user:elosegui-1,2016-01-28T19:55:09Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:2llAgFuIcyxAacceqb1ZRo,El Comando del Diablo,"Noel Torres, Gerardo Ortiz",Al Frente y de Frente,1,16,150880,spotify:user:elosegui-1,2016-01-28T19:55:24Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:644pFO0xo2No76A5WSI6FM,Empresas MZ,Calibre 50,De Sinaloa Para El Mundo,1,1,125800,spotify:user:elosegui-1,2016-02-08T01:48:40Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:4Jj1msEChENhM8DeLTMbh6,Scarface Renacido,Jorge Santacruz Y Su Grupo Quinto Elemento,La Supremacía,1,18,234146,spotify:user:elosegui-1,2016-02-08T01:52:45Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:3iGnzwRTFi8wZEdev3HjtC,El Kokio Jr.,Jorge Santacruz Y Su Grupo Quinto Elemento,La Supremacía,1,14,209346,spotify:user:elosegui-1,2016-02-08T01:53:57Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:2s4ReDBHZgYPK1WJ2KsWgf,El Cartel de la Rana,"Jorge Santacruz Y Su Grupo Quinto Elemento, Gerardo Ortiz",La Supremacía,1,13,180173,spotify:user:elosegui-1,2016-02-08T01:54:15Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:37KjuSWbG60YbCQQiqZe5X,Ajustes Inzunza,Calibre 50,Grandes Éxitos,1,3,129973,spotify:user:elosegui-1,2016-02-08T01:59:32Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:6ha82GHuEc0jVvApoUs2Hg,Escuela Del Virus Antrax,Calibre 50,Grandes Éxitos,1,11,161626,spotify:user:elosegui-1,2016-02-08T02:05:55Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:0gMKH5FFbFVG7eTtrsaKYl,Gente Batallosa,"Calibre 50, Banda Carnaval",Grandes Éxitos,1,18,148200,spotify:user:elosegui-1,2016-02-08T02:09:33Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:4YCWsVdCoVQieev0hyeesj,Háblame de Ti,Banda Sinaloense MS de Sergio Lizárraga,No Me Pidas Perdón,1,2,190773,spotify:user:hugochaveze,2016-03-23T00:12:08Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:1gsnQp7YDID2sgAjheBT5e,Me Gusta Tu Vieja,Banda Sinaloense MS de Sergio Lizárraga,No Me Pidas Perdón,1,1,187880,spotify:user:hugochaveze,2016-03-23T00:12:51Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:2UR4GU1676M67Ckm4rMnzh,Aquiles Afirmo (Deluxe Version),Gerardo Ortiz,Entre Dios y El Diablo (Deluxe Version),2,1,179773,spotify:user:hugochaveze,2016-03-23T00:37:48Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:1UsEfr1niAbjwBxPsOyOUl,Armas Y Billetes,Buknas De Culiacan,Armas Y Billetes,1,2,141978,spotify:user:hugochaveze,2016-03-27T01:46:35Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:0SpZnBFzwllmXRd1tu7rRR,Soy Nacido en Mexicali,El Komander,"Pisteadera, Vol.1",1,14,136359,spotify:user:hugochaveze,2016-04-06T01:26:57Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:2fF5trvgri8GNHjmEIkBV9,El Señor Iván,Enigma Norteño,El Señor Iván,1,1,151146,spotify:user:hugochaveze,2016-04-10T07:03:42Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:14kMoWZq2e0eyKv7RzEziZ,Su Ultima Carabana,Traviezoz de la Zierra,A Ver Que Opinan,1,12,234840,spotify:user:hugochaveze,2016-05-03T00:17:09Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:6eWVgclvvpSRhr0RQmQdYE,"Entre Calaveras ""Chino Antrax""",Los Buchones de Culiacan,Signos De Batalla,1,3,177503,spotify:user:hugochaveze,2016-05-03T00:36:42Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:47ZfXEkUxFIh2WKVUlb9cR,La Vuelta Cargada,El Komander,El Movimiento Alterado Vol. 7,1,1,165386,spotify:user:hugochaveze,2016-05-03T00:38:07Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:1vHuypHI1UzrVdvZp9fbdf,El 24 - Corrido,Banda Sinaloense MS de Sergio Lizárraga,20 Corridos Bien Perrones,1,1,107372,spotify:user:hugochaveze,2016-07-23T19:39:11Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:0aNg375SvHpJAWSMZkIYtF,Hombre Libre,La Adictiva Banda San José de Mesillas,Disfruté Engañarte,1,3,199080,spotify:user:proyecto-x,2016-08-11T04:03:55Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:0LxZECRseD8oKX0P8qYlvY,Háblame de Ti,Banda Sinaloense MS de Sergio Lizárraga,Háblame de Ti - Single,1,1,188640,spotify:user:proyecto-x,2016-08-11T04:04:13Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:41wLvVjHPmk9kVNd8OasbW,Vaciando Botellas,Fidel Rueda,Sinaloense Hasta Las Cachas,1,1,236920,spotify:user:proyecto-x,2016-08-11T04:04:33Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:56jouFPGtdfVPWp8GlftIb,Te Dirán,La Adictiva Banda San José de Mesillas,Te Dirán,1,1,195131,spotify:user:proyecto-x,2016-08-11T04:04:58Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:25OzGW80CnAcWPL9tWUZ2D,Me Vas a Extrañar,Banda Sinaloense MS de Sergio Lizárraga,Que Bendición,1,3,176800,spotify:user:proyecto-x,2016-08-11T04:05:26Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:4cuti7K7IqIUm5f9pcCGjh,¿Por Qué Terminamos?,Gerardo Ortiz,Hoy Más Fuerte,1,2,180080,spotify:user:nejuveny-5739,2016-08-14T17:56:12Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:1y8vhYug05asslmpY8bFel,Cabecita Dura,La Arrolladora Banda El Limón De Rene Camacho,Irreversible... 2012,1,5,174640,spotify:user:nejuveny-5739,2016-08-14T18:00:15Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:0KHDthR0XvPoeJaqBc7Sg5,Ya Te Perdí La Fe,La Arrolladora Banda El Limón De Rene Camacho,Ojos En Blanco,1,9,147053,spotify:user:nejuveny-5739,2016-08-14T19:22:05Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:0oskRNVgaoWXC1zx3wTBgE,Excepto a Ti,Banda Sinaloense MS de Sergio Lizárraga,No Me Pidas Perdón,1,7,150240,spotify:user:nejuveny-5739,2016-08-15T23:36:01Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:189reEzgZBH9mNZLVhzxix,El Viejon,La Adictiva Banda San José de Mesillas,El Viejon,1,1,178198,spotify:user:nejuveny-5739,2016-08-15T23:39:03Z,undefined,undefined,undefined,Fri Sep 15 2017
